date,relevant_issuer,X7,X8,X9,X10
2023-02-21,BBCA,0.3593867,0.2903364,19,17
2023-02-21,BBNI,0.16136219,0.28022286,4,7
2023-02-21,BBRI,0.2583973,0.2770593,15,17
2023-02-21,BBTN,0.20845419,0.33226955,3,6
2023-02-21,BMRI,0.29893523,0.26005173,11,10
2023-02-21,BRIS,0.28564397,0.2499435,16,17
2023-02-21,GOTO,0.24487044,0.26884082,21,23
2023-02-22,ARTO,0.11102515,0.3149179,6,16
2023-02-22,BBCA,0.21511821,0.23063369,13,13
2023-02-22,BBNI,0.124553695,0.3038889,5,12
2023-02-22,BBRI,0.11707744,0.34114492,7,23
2023-02-22,BBTN,0.1262993,0.34684587,2,8
2023-02-22,BMRI,0.13552928,0.22256374,7,11
2023-02-22,BRIS,0.13946621,0.35243535,12,29
2023-02-22,GOTO,0.15679637,0.3636237,16,38
2023-02-23,ARTO,0.22867653,0.32377163,16,24
2023-02-23,BBCA,0.1564108,0.06627067,5,1
2023-02-23,BBNI,0.0733069,0.22783604,2,5
2023-02-23,BBRI,0.18870169,0.10972925,7,3
2023-02-23,BBTN,0.39624137,0.32089484,2,2
2023-02-23,BMRI,0.32411793,0.041350868,11,1
2023-02-23,BRIS,0.12113882,0.34936383,12,34
2023-02-23,GOTO,0.3082772,0.20822883,20,10
2023-02-24,ARTO,0.17041734,0.24323238,5,9
2023-02-24,BBCA,0.14283668,0.21616475,3,6
2023-02-24,BBNI,0.2924507,0.33330688,6,5
2023-02-24,BBRI,0.18989684,0.3428669,5,9
2023-02-24,BBTN,0.20597278,0.42178106,1,1
2023-02-24,BMRI,0.18336667,0.3359158,3,6
2023-02-24,BRIS,0.12980823,0.1024947,4,2
2023-02-24,GOTO,0.19513641,0.2862882,16,26
2023-02-25,ARTO,0.021475825,0.54182816,0,3
2023-02-25,BBCA,0.35647547,0.17865163,4,3
2023-02-25,BBNI,0.051482126,0.12903112,0,0
2023-02-25,BBRI,0.66799474,0.09964614,4,1
2023-02-25,BBTN,0.009027997,0.04818275,0,0
2023-02-25,BMRI,0.021827437,0.27458933,0,1
2023-02-25,BRIS,0.10952868,0.4625359,1,3
2023-02-25,GOTO,0.20969068,0.2538417,7,7
2023-02-26,ARTO,0.0068732616,0.5232344,0,1
2023-02-26,BBCA,0.35451984,0.30097303,9,6
2023-02-26,BBNI,0.4327658,0.40060565,2,1
2023-02-26,BBRI,0.21126777,0.40981826,5,8
2023-02-26,BBTN,0.31588703,0.5137285,2,2
2023-02-26,BMRI,0.29739022,0.44764343,3,3
2023-02-26,BRIS,0.1849329,0.4028158,2,3
2023-02-26,GOTO,0.16072407,0.37628374,2,5
2023-02-27,ARTO,0.12231639,0.43442056,6,20
2023-02-27,BBCA,0.21870238,0.21189174,10,11
2023-02-27,BBNI,0.009766816,0.351389,0,3
2023-02-27,BBRI,0.16814773,0.18352415,3,4
2023-02-27,BBTN,0.0069432086,0.12843622,0,1
2023-02-27,BMRI,0.36829224,0.23090106,6,4
2023-02-27,BRIS,0.18164088,0.2992338,14,21
2023-02-27,GOTO,0.2709092,0.25841597,19,18
2023-02-28,ARTO,0.23800844,0.4397987,8,17
2023-02-28,BBCA,0.27427676,0.30212238,11,13
2023-02-28,BBNI,0.14734636,0.39479676,2,9
2023-02-28,BBRI,0.21721706,0.36463684,10,19
2023-02-28,BBTN,0.2627159,0.21969773,3,5
2023-02-28,BMRI,0.31499016,0.2664253,6,5
2023-02-28,BRIS,0.22104011,0.31946376,16,23
2023-02-28,GOTO,0.25905123,0.2610859,22,21
2023-03-01,ARTO,0.221001,0.18821895,15,10
2023-03-01,BBCA,0.13240314,0.2630192,3,11
2023-03-01,BBNI,0.1810806,0.13739733,2,3
2023-03-01,BBRI,0.19276445,0.2030259,6,6
2023-03-01,BBTN,0.037017033,0.14384556,0,1
2023-03-01,BMRI,0.2617826,0.107680395,4,1
2023-03-01,BRIS,0.20772336,0.22914334,11,12
2023-03-01,GOTO,0.2022636,0.26951864,19,28
2023-03-02,ARTO,0.18255548,0.1032301,6,2
2023-03-02,BBCA,0.29444373,0.16535954,13,5
2023-03-02,BBNI,0.26078096,0.009587272,3,0
2023-03-02,BBRI,0.28534156,0.19250035,10,6
2023-03-02,BBTN,0.34898132,0.15303187,6,2
2023-03-02,BMRI,0.5648587,0.052034196,18,1
2023-03-02,BRIS,0.14348386,0.24636038,4,7
2023-03-02,GOTO,0.2215848,0.21617922,19,18
2023-03-03,ARTO,0.25998437,0.2989722,3,3
2023-03-03,BBCA,0.17445965,0.20825917,9,12
2023-03-03,BBNI,0.3016701,0.22677319,4,3
2023-03-03,BBRI,0.22364834,0.19691314,8,6
2023-03-03,BBTN,0.2619648,0.299318,6,4
2023-03-03,BMRI,0.18759745,0.13665357,4,2
2023-03-03,BRIS,0.19698887,0.20801565,4,3
2023-03-03,GOTO,0.24563107,0.19010094,16,14
2023-03-04,ARTO,0.41095266,0.18096757,2,1
2023-03-04,BBCA,0.071770914,0.4051819,1,6
